,epsilon,attack,accuracy,robust_accuracy
0,,,0.8018,
1,0.03128495115637,FGSM,0.8018,0.3273
2,0.06256990231274,FGSM,0.8018,0.3081
3,0.12513980462548,FGSM,0.8018,0.2684
4,0.03128495115637,PGD_foolbox_0.007821237789092503_20_True,0.8018,0.703
5,0.06256990231274,PGD_foolbox_0.015642475578185006_20_True,0.8018,0.5709
6,0.12513980462548005,PGD_foolbox_0.03128495115637001_20_True,0.8018,0.3148
